"","grade","age","female","race","empathy_1","empathy_2","empathy_3","empathy_4","empathy_5","empathy_6","empathy_7","empathy_8","empathy_9","empathy_10","empathy_11","schid"
"215",9,15,0,"Black",2,3,2,3,3,2,2,2,3,3,3,2
"216",9,15,0,"Black",1,1,2,3,1,1,2,2,1,3,2,2
"217",9,14,0,"Black",2,3,2,2,1,2,3,2,2,2,2,2
"218",9,14,1,"Black",1,2,1,2,1,1,3,3,1,2,2,2
"219",9,15,1,"Black",2,3,3,1,1,1,2,1,2,2,2,2
"220",9,14,1,"Black",2,1,3,3,2,2,3,3,1,2,1,2
"221",9,15,0,"Black",2,1,2,2,1,2,3,1,1,2,2,2
"222",9,16,0,"Black",1,1,2,1,1,1,2,NA,1,3,1,2
"223",9,16,0,"Black",2,1,3,1,2,2,2,2,2,3,3,2
"224",9,14,0,"Black",2,1,1,2,1,1,3,2,1,1,1,2
"225",9,15,1,"Black",1,1,1,1,1,1,1,1,1,1,1,2
"226",9,14,1,"Black",3,2,3,2,1,2,1,2,1,NA,1,2
"227",9,14,0,"Black",2,2,2,2,1,1,2,1,2,2,2,2
"228",9,15,0,"Black",3,2,1,2,2,2,3,2,3,2,1,2
"229",9,15,1,"Other",3,3,2,3,3,2,2,2,3,3,3,2
"230",9,14,1,"White",2,3,3,3,2,3,3,2,3,2,2,2
"231",9,15,0,"White",2,2,3,2,3,2,3,2,3,3,2,2
"232",9,14,0,"Black",1,2,3,3,2,2,3,2,2,2,3,2
"233",9,15,0,"Black",2,2,2,2,2,2,3,3,2,3,3,2
"234",10,16,0,"Black",3,2,2,NA,1,2,1,1,1,2,2,2
"235",9,14,0,"White",2,1,2,2,1,1,2,1,2,2,2,2
"236",10,15,1,"Black",1,2,2,2,2,2,3,2,1,2,3,2
"237",9,15,0,"Black",2,1,3,2,1,3,3,3,1,2,1,2
"238",9,15,0,"Black",2,2,2,2,2,2,2,2,2,2,2,2
"239",9,15,0,"Black",2,2,2,2,2,2,2,1,2,2,2,2
"240",9,14,0,"Black",2,2,2,2,1,2,1,1,1,1,1,2
"241",9,14,0,"White",2,2,1,2,1,2,3,1,1,1,3,2
"242",9,14,1,"Black",2,1,3,2,2,2,2,2,3,2,2,2
"243",9,15,0,"Black",2,2,2,3,3,2,2,1,2,3,2,2
"244",9,15,1,"Black",1,1,1,1,1,1,1,1,1,1,1,2
"245",9,15,1,"White",2,2,3,2,1,2,2,2,2,2,2,2
"246",9,15,0,"Black",1,2,1,2,1,1,1,1,1,1,2,2
"247",9,14,1,"Black",3,2,2,2,1,2,2,2,3,3,2,2
"248",9,15,0,"Black",2,2,3,1,3,2,3,2,3,2,1,2
"249",9,14,0,"Black",2,1,2,NA,2,2,2,2,2,2,2,2
