SCHOOL,INTEG,PER_FSM,BRIT_W,DIFF_BRIT_W
Bedfont Primary School,26.7536654,9.5,28.8,7.9130386
Space Studio West London,45.6066034,20.3,29.7,8.8130386
Oak Hill Academy,43.3274762,16.3,36.8,15.9130386
The Green School,35.037381,11.6,24.7,3.8130386
Orchard Primary School,59.1081142,14.4,3.6,17.2869614
Wellington Primary School,61.398489,12.7,5.6,15.2869614
Isleworth and Syon School for Boys,32.6787352,16.9,26.6,5.7130386
Sparrow Farm Junior School,46.5655288,14.6,27,6.1130386
Lionel Primary School,52.4869054,16.8,30.6,9.7130386
Green Dragon Primary School,51.276385,23.3,21.3,0.4130386
The Woodbridge Park Education Service,91.3858984,32.5,55.3,34.4130386
Gunnersbury Catholic School,57.7440404,10.1,24.7,3.8130386
Southville Junior School,34.5368216,21,36.8,15.9130386
The Rise Free School,80.9720202,44.1,52.9,32.0130386
Sparrow Farm Infant and Nursery School,76.4567992,11.3,18,2.8869614
Beavers Community Primary School,28.0174034,16.9,17.1,3.7869614
Marjory Kinnon School,53.2106884,30,32.9,12.0130386
Lampton Academy,53.3493564,14.3,7,13.8869614
Oriel Primary School,36.6863458,20.4,34.7,13.8130386
Hounslow Heath Junior School,64.031785,9.9,4,16.8869614
Strand-on-the-Green Infant and Nursery School,66.0686066,11,37.6,16.7130386
St Mary's Catholic Primary School Isleworth,78.1675434,1.7,38.4,17.5130386
Heston Community School,65.2571908,13.6,5.1,15.7869614
Cranford Community College,66.3840516,15.3,4.1,16.7869614
Fairholme Primary School,61.3130948,19.5,50.6,29.7130386
Norwood Green Infant and Nursery School,72.88338,16.6,3,17.8869614
Chatsworth Primary School,52.5820366,6.4,8.6,12.2869614
Brentford School for Girls,43.0177952,25.3,18.2,2.6869614
Grove Park Primary School,60.7531618,12.5,31.1,10.2130386
Strand-on-the-Green Junior School,60.4243426,13.5,36.3,15.4130386
Lindon Bennett School,44.4669278,26.5,15.3,5.5869614
Victoria Junior School,38.4325688,26.3,32.9,12.0130386
Isleworth Town Primary School,38.1717964,14.2,37.6,16.7130386
The Rosary Catholic Primary School,49.1860102,9.3,12.2,8.6869614
St Richard's Church of England Primary School,60.4683828,26.7,41.7,20.8130386
Hounslow Heath Infant and Nursery School,57.5434246,5.7,4.9,15.9869614
The Heathland School,58.9432568,14.4,6.6,14.2869614
Marlborough Primary School,27.631953,11.9,17.8,3.0869614
St Mark's Catholic School,40.2832122,5.1,28.1,7.2130386
Cardinal Road Infant and Nursery School,40.3390038,14.6,27.7,6.8130386
St Paul's CofE Primary School,55.9927812,14.3,30.3,9.4130386
Westbrook Primary School,47.811024,13.9,5.3,15.5869614
The Cedars Primary School,97.0228876,54.2,51.7,30.8130386
Springwell Infant and Nursery School,76.4410184,6.8,1.3,19.5869614
Springwell Junior School,71.7885282,10.2,1.9,18.9869614
Heston Primary School,64.3072188,15.6,2.2,18.6869614
Crane Park Primary School,33.9822048,21.5,23.4,2.5130386
Reach Academy Feltham,41.4817012,16.3,35.1,14.2130386
Grove Road Primary School,44.2931166,15.4,8.6,12.2869614
Belmont Primary School,74.2675434,7.1,28,7.1130386
Berkeley Primary School,43.2997202,20,11.3,9.5869614
Cavendish Primary School,72.318019,21.4,30.9,10.0130386
Oaklands School,62.3461108,37,13,7.8869614
Floreat Brentford Primary School,98.8304422,13,0,20.8869614
Feltham Hill Infant and Nursery School,49.8757136,21.9,37.3,16.4130386
Hounslow Town Primary School,46.9056518,12.4,5.6,15.2869614
The William Hogarth Primary School,53.2246222,19.1,25.3,4.4130386
Gumley House RC Convent School FCJ,63.9236152,7,36,15.1130386
The Smallberry Green Primary School,33.7745382,18.2,20.6,0.2869614
Spring Grove Primary School,52.426133,6.1,10.1,10.7869614
Copenhagen Primary School,65.1018862,37.8,4.7,21.7777367
St Jude and St Paul's CofE Primary School,37.9403072,30.5,13.2,13.2777367
Highbury Fields School,21.0587012,41.4,22,4.4777367
The Family School London,46.1862144,50,29.2,2.7222633
St Joseph's RC Primary School,30.0098776,18.8,30.5,4.0222633
Central Foundation Boys' School,45.909722,27,16.7,9.7777367
Ambler Primary School and Children's Centre,19.3216994,25.5,25.1,1.3777367
Prior Weston Primary School and Children's Centre,35.4251218,27.2,36.1,9.6222633
Blessed Sacrament RC Primary School,44.1161384,34.1,19,7.4777367
St Mary Magdalene Academy: the Courtyard,78.377348,20,54.3,27.8222633
Vittoria Primary School,41.7223216,41.8,33.7,7.2222633
St Mark's CofE Primary School,44.2853004,32.8,22.5,3.9777367
Hungerford Primary School and Children's Centre,17.27622,35.4,21.2,5.2777367
Arts and Media School Islington,38.3973944,32.8,14.3,12.1777367
Tech City College,54.5152828,41.6,10.6,15.8777367
Drayton Park Primary School,28.9180636,27.9,30.8,4.3222633
Hargrave Park Primary School,30.0032278,44.4,30.9,4.4222633
Canonbury Primary School,53.2531404,28.3,44.3,17.8222633
St Luke's CofE Primary School,28.587342,27.1,31.1,4.6222633
Christ The King RC Primary School,57.9014776,37.4,9.9,16.5777367
Poole's Park Primary School,48.2194634,36.4,9.7,16.7777367
St Aloysius RC College,54.096364,24.7,10.8,15.6777367
New River College Secondary,67.344371,62,43,16.5222633
Hugh Myddelton Primary School,21.5818978,37,27.9,1.4222633
St Joan of Arc RC Primary School,49.0699206,11.1,44.6,18.1222633
New River College Primary,66.1344742,100,28.6,2.1222633
Pakeman Primary School,52.6962862,34.2,13,13.4777367
Laycock Primary School,25.3006806,37.8,25.6,0.8777367
Sacred Heart Catholic Primary School,36.5673926,30.5,22.6,3.8777367
Rotherfield Primary School,36.1724676,36.6,38.9,12.4222633
Elizabeth Garrett Anderson School,57.7213688,35.9,10,16.4777367
Robert Blair Primary School,33.923255,36.1,27.4,0.9222633
William Tyndale Primary School,61.0233912,16.9,43.6,17.1222633
St Andrew's (Barnsbury) Church of England Primary School,27.447171,17.8,32,5.5222633
Yerbury Primary School,77.7188414,6.9,59.6,33.1222633
Ashmount Primary School,39.5482404,25.5,36.7,10.2222633
Montem Primary School,37.7423682,35.8,13,13.4777367
Moreland Primary School,46.2187244,34.1,11.2,15.2777367
Clerkenwell Parochial CofE Primary School,44.8671204,28.3,37.8,11.3222633
Holloway School,37.8771924,44.3,39.2,12.7222633
St Mary Magdalene Academy,40.3245966,25.7,37.3,10.8222633
Newington Green Primary School,49.455629,36.3,12.8,13.6777367
St Peter and St Paul RC Primary School,43.529341,22.1,36.6,10.1222633
Richard Cloudesley PH School,46.2047638,46.3,18.9,7.5777367
Highbury Quadrant Primary School,24.6203966,34.1,19.6,6.8777367
Duncombe Primary School,51.15979,29.9,10,16.4777367
Mount Carmel Catholic College for Girls,34.2817228,32.3,15.2,11.2777367
Grafton Primary School,25.4709898,24.8,22.7,3.7777367
Hanover Primary School,44.7744316,25.9,43,16.5222633
St John Evangelist RC Primary School,71.7683068,29.6,58.5,32.0222633
The New North Academy,43.5946724,38.1,14.5,11.9777367
St John's Upper Holloway CofE Primary School,41.6522264,24.2,23.9,2.5777367
New River College Medical,89.7271828,10.5,57.9,31.4222633
Tufnell Park Primary School,52.2947504,21.4,48.1,21.6222633
The Bridge Integrated Learning Space,83.5523818,92.3,7.7,18.7777367
St Mary's CofE Primary School,56.2908032,37.8,51.6,25.1222633
Highbury Grove School,19.5356794,32.5,21.9,4.5777367
Gillespie Primary School,26.4246552,18.4,32.2,5.7222633
City of London Academy Islington,24.2516236,47,26.4,0.0777367
Thornhill Primary School,57.0781064,31.1,53.9,27.4222633
St John's Highbury Vale CofE Primary School,59.1560376,12.6,53.1,26.6222633
The Bridge School,33.9333656,58.7,18.1,8.3777367
Winton Primary School,68.185456,34.1,12.6,13.8777367
Whitehall Park School,94.3075834,16.7,65.5,39.0222633
Samuel Rhodes MLD School,36.8957224,69.2,35.5,9.0222633
Servite RC Primary School,27.8899937,15,19,2.2278587
Chelsea Academy,23.4356859,22.6,10.8,10.4278587
St Joseph RC Primary School,72.4639341,16.1,7.5,13.7278587
Kensington Aldridge Academy,17.3633587,37.7,19.8,1.4278587
Saint Francis of Assisi Catholic Primary School,35.1706667,25.8,21.8,0.5721413
Barlby Primary School,40.7853937,37.3,20.2,1.0278587
St Clement and St James CofE Primary School,46.4213299,25.3,23.1,1.8721413
Thomas Jones Primary School,55.8509505,25.4,11.5,9.7278587
Ashburnham Community School,29.3475469,41.6,13.7,7.5278587
St Charles RC Primary School,36.1654733,27.2,27.3,6.0721413
St Cuthbert with St Matthias CofE Primary School,68.2616525,25.5,4.4,16.8278587
Saint Thomas More Language College,28.6211165,14.8,17.5,3.7278587
Saint Mary's Catholic Primary School,33.4174997,29,20,1.2278587
Park Walk Primary School,23.5965965,28.6,19.3,1.9278587
St Mary Abbots CofE Primary School,81.5871743,3.5,48.3,27.0721413
Christ Church CofE Primary School,83.7192433,4.8,62,40.7721413
Our Lady of Victories RC Primary School,85.9125199,4.8,11.7,9.5278587
Parkwood Hall Co-Operative Academy,76.9571733,33,55.7,34.4721413
St Thomas' CofE Primary School,38.7179263,34.6,18.5,2.7278587
Oxford Gardens Primary School,40.9592135,37.8,21.6,0.3721413
Avondale Park Primary School,45.0780857,38.8,14.5,6.7278587
Sion-Manning RC Girls' School,26.2412779,27.4,19,2.2278587
Oratory Roman Catholic Primary School,81.2718631,1.4,31.7,10.4721413
Bevington Primary School,59.3487895,27.4,7,14.2278587
Holland Park School,23.4490031,16.1,22.3,1.0721413
Bousfield Primary School,63.5861729,5.5,17,4.2278587
Latimer Ap Academy,73.1127331,27.8,14.8,6.4278587
Fox Primary School,79.4496245,5.2,33.3,12.0721413
Ark Brunel Primary Academy,48.7746823,35.2,12.7,8.5278587
St Barnabas and St Philip's CofE Primary School,39.0231105,14.4,33.1,11.8721413
Holy Trinity CofE Primary School,34.5024855,17.4,10.9,10.3278587
Colville Primary School,28.0799593,29.2,9.7,11.5278587
Marlborough Primary School,30.1808309,12.2,11,10.2278587
The Cardinal Vaughan Memorial RC School,59.5302885,5.7,40.1,18.8721413
St Paul's CofE Junior School,22.4785429,10.3,47.7,1.3147135
The Kingston Academy,31.1690875,10.2,49.6,3.2147135
St John's C of E Primary School,54.7838009,5.4,73,26.6147135
St Paul's CofE Primary School,56.4691583,5.4,74.3,27.9147135
The Holy Cross School,21.1070971,5.9,48.5,2.1147135
The Hollyfield School and Sixth Form Centre,26.6893421,9.6,56.5,10.1147135
Coombe Hill Junior School,35.2652443,6.2,34.1,12.2852865
Robin Hood Primary School,39.5523225,12.2,35.1,11.2852865
Ellingham Primary School,36.3801697,12.1,63.3,16.9147135
St Matthew's CofE Primary School,43.4110587,7.8,67.7,21.3147135
St Mary's CofE (Aided) Primary School,65.0881395,8.1,77.6,31.2147135
Tolworth Junior School,15.6606695,12.8,45.2,1.1852865
The Tiffin Girls' School,69.8225655,1.3,23.2,23.1852865
Christ Church CofE Primary School,32.3338833,2.7,59.9,13.5147135
Knollmead Primary School,40.2099269,16.1,36.9,9.4852865
Tolworth Girls' School & Sixth Form,24.2123083,7.1,55.2,8.8147135
Bedelsford School,31.0593961,31.1,50,3.6147135
Southborough High School,39.0253715,9.5,41.2,5.1852865
St Luke's CofE Primary School,36.0619427,5.9,52.2,5.8147135
Fern Hill Primary School,32.1815845,7.7,41.6,4.7852865
Castle Hill Primary School,39.9594907,12.7,59.7,13.3147135
Tiffin School,65.9915351,2.5,24.6,21.7852865
Dysart School,26.5284837,19.8,39.7,6.6852865
Coombe Girls' School,23.6204197,7.6,43.4,2.9852865
Tolworth Infant and Nursery School,34.8134639,10.5,41.9,4.4852865
Burlington Infant and Nursery School,33.5833293,8.4,36.7,9.6852865
Lime Tree Primary School,35.8477717,13.6,40.7,5.6852865
Latchmere School,30.8601273,4.1,49.2,2.8147135
Green Lane Primary and Nursery School,28.6000235,9.2,56.6,10.2147135
Coombe Boys' School,31.4436453,8.2,40.3,6.0852865
St Agatha's Catholic Primary School,64.5361941,4.2,36.6,9.7852865
Corpus Christi Catholic Primary School,39.8963451,4.1,39.1,7.2852865
Burlington Junior School,64.8211035,12.8,23.8,22.5852865
Maple Infants' School,29.7806883,9.4,45.3,1.0852865
St Joseph's Catholic Primary School,80.5547039,9.5,17,29.3852865
Coombe Hill Infant School,36.1114125,6.7,31.9,14.4852865
Malden Parochial CofE Primary School,30.4265975,4.1,52.5,6.1147135
Grand Avenue Primary and Nursery School,20.6327515,3.9,50.3,3.9147135
Richard Challoner School,46.5506483,5.6,63.8,17.4147135
Lovelace Primary School,37.3605519,10.3,62.6,16.2147135
King Athelstan Primary School,29.7216927,11.5,44.2,2.1852865
Christ Church New Malden CofE Primary School,44.3699363,6.5,57.3,10.9147135
Kingston Community School,98.7927375,20,0,46.3852865
St Philip's School,36.0197357,23.4,60,13.6147135
Malden Oaks PRU,97.7410987,22.2,77.8,31.4147135
Alexandra Infant School,36.6901911,6.8,38.6,7.7852865
King's Oak Primary School,35.2607403,23.2,33.2,13.1852865
Malden Manor Primary and Nursery School,62.0000471,11.5,28,18.3852865
St Andrew's and St Mark's CofE Junior School,16.2806413,12.4,43.7,2.6852865
Chessington Community College,64.6364065,16.7,78,31.6147135
Our Lady Immaculate Catholic Primary School,27.4483847,4.4,50.6,4.2147135
St Luke's Church of England Primary School,32.2872086,31.3,6.4,7.7080563
St Saviour's Church of England Primary School,55.1214796,11.5,40.4,26.2919437
St Stephen's Church of England Primary School,50.6549836,25.2,5.7,8.4080563
The Elmgreen School,34.1462876,22.7,21.5,7.3919437
Durand Academy,58.3040884,29.5,3.1,11.0080563
St Mark's Church of England Primary School,67.5104822,38,2.5,11.6080563
King's College London Maths School,91.00818,8.5,34.9,20.7919437
Christ Church  Streatham Church of England Primary School,48.7708404,25.8,10.5,3.6080563
Streatham Wells Primary School,38.26061,17.6,25.1,10.9919437
Holy Trinity Church of England Primary School,50.2938584,17,5.9,8.2080563
St John's Angell Town Church of England Primary School,77.387976,29.1,2.3,11.8080563
Christ Church Primary SW9,46.1150858,33,7.1,7.0080563
The Orchard School,104.799229,23.3,0,14.1080563
Jubilee Primary School,26.4250602,33.5,7.8,6.3080563
Bishop Thomas Grant Catholic Secondary School,48.332221,9.6,18.6,4.4919437
St Bernadette Catholic Junior School,54.2795358,21.3,5.4,8.7080563
St Leonard's Church of England Primary School,47.9309424,9.9,28.5,14.3919437
City Heights E-ACT Academy,32.3987174,35.8,8.7,5.4080563
Henry Cavendish Primary School,67.4322212,11.3,37,22.8919437
St Jude's Church of England Primary School,44.8360576,10.9,36,21.8919437
Corpus Christi Catholic Primary School,62.09795,5.9,34.9,20.7919437
St Martin in the Fields High School for Girls,58.2698174,23.7,1.7,12.4080563
Kingswood Primary School,34.2191778,24.8,19.9,5.7919437
Herbert Morrison Primary School,39.262912,24.5,9.2,4.9080563
Archbishop Sumner Church of England Primary School,42.1271062,27.7,16.2,2.0919437
Saint Gabriel's College,22.9258276,26.7,9.6,4.5080563
Heathbrook Primary School,39.1514026,29.3,21.9,7.7919437
The Livity School,37.8406612,61.4,13.5,0.6080563
Granton Primary School,45.8017864,24.4,8.3,5.8080563
Elm Court School,45.1237816,75,17.5,3.3919437
Lambeth Academy,38.6984616,28.2,8.9,5.2080563
St Mary's Roman Catholic Primary School,53.1227584,12.5,14.1,0.0080563
Reay Primary School,57.6588198,27.4,20.6,6.4919437
Lark Hall Primary School (Including Lark Hall Centre for Pupils with Autism),38.4687942,42.1,4.1,10.0080563
Glenbrook Primary School,26.392068,33,8.4,5.7080563
La Retraite Roman Catholic Girls' School,54.1603544,11.4,4.1,10.0080563
Lilian Baylis Technology School,29.894114,29.4,7.7,6.4080563
Clapham Manor Primary School,29.784651,21,16.8,2.6919437
St John the Divine Church of England Primary School,87.755495,41.1,0.6,13.5080563
Trinity Academy,55.2335002,17.9,2.1,12.0080563
Rosendale Primary School,76.5841394,12.2,43.7,29.5919437
Immanuel and St Andrew Church of England Primary School,38.7056226,14,25,10.8919437
Julian's School,66.7828606,10.7,32.3,18.1919437
Fenstanton Primary School,42.9429632,45.7,6.5,7.6080563
Allen Edwards Primary School,46.2861856,27.8,4.8,9.3080563
Loughborough Primary School,45.0217356,47.7,4.5,9.6080563
St Helen's Catholic School,88.4841396,29.6,3.2,10.9080563
St Andrew's Church of England Primary School,47.8094592,21.5,6.9,7.2080563
Ashmole Primary School,26.3074132,22.4,13.6,0.5080563
Oasis Academy Johanna,31.1107378,26,12.4,1.7080563
Hitherfield Primary School,47.431454,18.5,25.9,11.7919437
Crown Lane Primary School,31.0434744,27.7,8.7,5.4080563
Jessop Primary School,36.4567736,23.8,11.6,2.5080563
St Andrew's Catholic Primary School,64.0409166,7,16.7,2.5919437
St Anne's Catholic Primary School,78.4219912,20.8,3.9,10.2080563
Norwood School,28.164702,21.3,13.6,0.5080563
Paxton Primary School,53.3946254,23.3,32.6,18.4919437
Turney Primary and Secondary Special School,53.367004,76.8,10.2,3.9080563
Henry Fawcett Primary School,40.56905,33.1,5.3,8.8080563
Ark Evelyn Grace Academy,42.8007714,61.6,5,9.1080563
Park Campus Academy,84.1046,42.4,8.1,6.0080563
Kings Avenue School,45.4777458,39.9,6.7,7.4080563
Iqra Primary School,99.3580526,36.8,0,14.1080563
Elm Wood School,53.866748,20.2,37.3,23.1919437
Bonneville Primary School,35.9626562,38.4,23.4,9.2919437
Walnut Tree Walk Primary School,37.01662,15,21.8,7.6919437
Hill Mead Primary School,43.578513,35.7,3.1,11.0080563
Woodmansterne Primary School,67.5189218,11.4,11.1,3.0080563
Platanos College,42.058564,40.9,3.9,10.2080563
London Nautical School,34.3639348,19.8,25.4,11.2919437
St Bede's Catholic Infant School,55.0667558,16.5,5.8,8.3080563
The Michael Tippett School,46.7672596,64.1,7.8,6.3080563
Telferscot Primary School,76.248078,9.7,46.3,32.1919437
Lansdowne School,43.492068,70.1,20.8,6.6919437
Stockwell Primary School,36.0483338,23.6,7,7.1080563
Archbishop Tenison's School,55.5813262,23.7,3.1,11.0080563
Macaulay Church of England Primary School,75.0580524,19.7,44.6,30.4919437
Richard Atkins Primary School,34.3534488,22.6,4.2,9.9080563
Oasis Academy South Bank,43.40639,42.6,19.2,5.0919437
Sunnyhill Primary School,36.6028094,25.6,9,5.1080563
Kennington Park Academy,77.7613774,44.8,10.3,3.8080563
Vauxhall Primary School,55.5314538,54.3,4,10.1080563
Wyvil Primary School and Centre for Children With Speech and Language Impairment,63.786697,45.4,3.7,10.4080563
Sudbourne Primary School,45.79616,20.2,28.6,14.4919437
Dunraven School,30.4097148,13.4,20.6,6.4919437
Downderry Primary School,48.9521083,24,25.8,3.6594094
Gordonbrock Primary School,45.0125899,12.1,36.9,14.7594094
Edmund Waller Primary School,42.9953889,19.8,33.2,11.0594094
Kender Primary School,58.4449101,23,10.1,12.0405906
Rathfern Primary School,37.4390441,24.2,11.7,10.4405906
Greenvale School,43.6203139,46.9,16.8,5.3405906
Prendergast School,22.4736057,11.3,25.6,3.4594094
Childeric Primary School,70.7728567,22,4,18.1405906
Turnham Primary Foundation School,47.2818301,20.5,8.7,13.4405906
Torridon Infant School,43.9257255,15.5,10.3,11.8405906
John Ball Primary School,65.2206885,7.6,44.7,22.5594094
Holy Trinity Church of England Primary School,53.6997055,22.6,10.8,11.3405906
St Margaret's Lee CofE Primary School,41.9163033,10.1,39.3,17.1594094
St Augustine's Catholic Primary School and Nursery,72.1343073,6.4,6,16.1405906
St Bartholomews's Church of England Primary School,51.9721333,11.7,33.6,11.4594094
Watergate School,33.1472801,38.3,16.3,5.8405906
St John Baptist Southend Church of England Primary School,54.7362513,11.4,12.2,9.9405906
Trinity Church of England School Lewisham,25.4796203,14.9,19,3.1405906
Abbey Manor College,62.4796203,0.8,17.7,4.4405906
Kilmorie Primary School,43.5453933,13.2,31.1,8.9594094
Bonus Pastor Catholic College,35.8738029,15.7,13.7,8.4405906
St Mary Magdalen's Catholic Primary School,66.0688259,16.1,4.9,17.2405906
St Winifred's Catholic Infant and Nursery School,58.1199565,7.3,33.3,11.1594094
Launcelot Primary School,30.0170435,24.5,27,4.8594094
Brindishe Manor School,60.0374949,12.9,42.4,20.2594094
Holy Cross Roman Catholic Primary School,66.4391241,6.6,13.4,8.7405906
Deptford Green School,31.1340985,30,16.8,5.3405906
St James's Hatcham Church of England Primary School,82.9506475,13.7,1.7,20.4405906
Brindishe Lee School,60.4393501,6.6,42.1,19.9594094
Sandhurst Infant and Nursery School,35.8995083,8.7,21.8,0.3405906
Our Lady and St Philip Neri Roman Catholic Primary School,70.5539665,14.7,16.4,5.7405906
John Stainer Community Primary School,43.4315399,11.7,30.8,8.6594094
St Stephen's Church of England Primary School,45.9256453,9.5,16,6.1405906
Beecroft Garden Primary,37.2091735,15.1,19.1,3.0405906
Dalmain Primary School,41.5927131,11.2,38,15.8594094
Fairlawn Primary School,71.2727881,10,54.6,32.4594094
Brent Knoll School,47.4159001,61.5,36.1,13.9594094
Sir Francis Drake Primary School,57.0428777,20.2,16.1,6.0405906
New Woodlands School,89.7123667,57.1,14.3,7.8405906
Myatt Garden Primary School,28.7363885,14.7,31.1,8.9594094
Adamsrill Primary School,19.0044539,21.3,21.4,0.7405906
Ashmead Primary School,51.2241045,16,36.2,14.0594094
Sandhurst Junior School,38.3480205,21.2,14.2,7.9405906
Stillness Infant School,65.3140219,5.4,44.3,22.1594094
Torridon Junior School,37.2547669,18.5,14.2,7.9405906
St Saviour's Catholic Primary School,59.0998827,10.4,7.6,14.5405906
Kelvin Grove Primary School,9.7701183,21.5,23.9,1.7594094
St George's CofE Primary School,61.7534519,25.2,3.6,18.5405906
Deptford Park Primary School,53.9867699,31.6,9.3,12.8405906
Haberdashers' Aske's Hatcham College,25.4923585,14.6,20.5,1.6405906
Lucas Vale Primary School,46.6065265,25.7,7.2,14.9405906
Elfrida Primary School,22.6994769,30,22.4,0.2594094
Grinling Gibbons Primary School,66.7140533,21.3,6.2,15.9405906
St Joseph's Catholic Primary School,74.1646609,15,0.8,21.3405906
Prendergast Ladywell School,30.6769133,26.4,12.3,9.8405906
All Saints' Church of England Primary School,90.3696463,3.3,60.4,38.2594094
Prendergast Vale School,28.4832625,21.7,15.6,6.5405906
Stillness Junior School,57.2366855,8.4,41,18.8594094
Brindishe Green School,21.9870731,15.5,15.3,6.8405906
St William of York Catholic Primary School,47.3750493,9.1,21.9,0.2405906
St Winifred's Catholic Junior School,57.9439123,10.3,38.9,16.7594094
Tidemill Academy,40.1101713,23.9,15.8,6.3405906
Eliot Bank Primary School,51.7138847,9.3,39.2,17.0594094
Rangefield Primary School,42.7084731,26.5,30.7,8.5594094
Rushey Green Primary School,58.2847833,11.9,6.4,15.7405906
Addey and Stanhope School,46.3758097,22.9,10.9,11.2405906
Sedgehill School,28.2320517,26.6,24.9,2.7594094
Haseltine Primary School,27.8692521,20.7,15.2,6.9405906
Holbeach Primary School,23.6437551,24.1,19.4,2.7405906
Athelney Primary School,22.4721335,31.2,24.3,2.1594094
Perrymount Primary School,23.1962609,28.3,21.9,0.2405906
Cooper's Lane Primary School,38.1354795,14.2,36.2,14.0594094
Haberdashers' Aske's Knights Academy,19.1817501,20,23.3,1.1594094
Good Shepherd RC School,39.4024899,12.8,13.5,8.6405906
St Mary's Lewisham Church of England Primary School,76.5784341,26.9,2.9,19.2405906
Forster Park Primary School,39.6994369,26.2,22.2,0.0594094
Horniman Primary School,82.0647093,6.7,54.5,32.3594094
Marvels Lane Primary School,24.9595725,26.4,23.1,0.9594094
St Matthew Academy,48.1425401,24.8,7.3,14.8405906
Haberdashers' Aske's Hatcham Temple Grove Free School,78.2480603,5.6,52.5,30.3594094
Conisborough College,22.7493439,26.3,21.2,0.9405906
St Michael's Church of England Primary School,56.4744861,15.2,12.4,9.7405906
Sydenham School,21.3899573,15.7,27.3,5.1594094
Baring Primary School,31.8206085,16.9,18.9,3.2405906
Drumbeat School and ASD Service,48.5623481,52.1,12.2,9.9405906
Forest Hill School,36.0989423,15.4,32.2,10.0594094
Cranmer Primary School,42.1703182,13,19.9,12.0923126
Harris Academy Morden,28.2805894,30.2,40.1,8.1076874
St Thomas of Canterbury Catholic Primary School,78.2807174,16.8,7.3,24.6923126
Harris Primary Academy Merton,59.964638,20.6,13.7,18.2923126
The Smart Centre,77.657036,19,22.4,9.5923126
Stanford Primary School,75.8475766,12.2,6.8,25.1923126
Wimbledon College,32.5997224,9.3,37.7,5.7076874
Sacred Heart Catholic Primary School,51.1826606,6.3,43.3,11.3076874
Aragon Primary School,49.1460176,8.5,53.8,21.8076874
Poplar Primary School,30.6177236,10.7,32,0.0076874
St Mark's Primary School,55.0989322,39.1,18.3,13.6923126
St Peter and Paul Catholic Primary School,65.376895,12.5,13.9,18.0923126
Cricket Green School,51.45631,41,42.7,10.7076874
Ursuline High School Wimbledon,31.6843262,8.1,38.3,6.3076874
Joseph Hood Primary School,39.272603,11,43.2,11.2076874
Gorringe Park Primary School,52.0347,16.5,9.3,22.6923126
West Wimbledon Primary School,27.7546232,14.1,37.9,5.9076874
Bishop Gilpin CofE Primary School,58.0585522,3.1,51.4,19.4076874
Merton Park Primary School,54.6313688,4.7,49.2,17.2076874
Melrose School,108.037775,61.5,65.4,33.4076874
Rutlish School,24.4216742,12.5,33.5,1.5076874
Pelham Primary School,49.6552424,9.5,40.8,8.8076874
Haslemere Primary School,43.3085202,26.9,18.4,13.5923126
William Morris Primary School,54.1749306,29.9,17.7,14.2923126
Bond Primary School,60.8100364,21.6,12.2,19.7923126
Beecholme Primary School,81.1151612,14.5,8.7,23.2923126
Park Community School,58.9608372,14.5,37.5,5.5076874
Wimbledon Park Primary School,58.9049114,5.5,53.3,21.3076874
Morden Primary School,32.2644032,20.7,36.5,4.5076874
Hillcross Primary School,35.552445,9.2,41.5,9.5076874
Dundonald Primary School,45.596626,2.5,40.5,8.5076874
All Saints' CofE Primary School,24.3932948,25.9,25.1,6.8923126
St John Fisher RC Primary School,58.8881272,3.9,46.6,14.6076874
Singlegate Primary School,37.982447,8.6,28.6,3.3923126
Holy Trinity CofE Primary School,59.3966688,2,50.3,18.3076874
Abbotsbury Primary School,49.3588726,15.3,22.1,9.8923126
St Mary's Catholic Primary School,63.4051462,4.4,41.9,9.9076874
Benedict Primary School,28.3090966,42.5,31.3,0.6923126
St Mark's Church of England Academy,46.153641,26.9,18.7,13.2923126
The Priory CofE School,39.1529362,12.3,40.4,8.4076874
Perseid School,42.5626096,37.6,22.4,9.5923126
Garfield Primary School,28.9131326,14.9,25.4,6.5923126
Wimbledon Chase Primary School,49.5523596,4.6,44.9,12.9076874
Hollymount School,52.7616912,7,50.4,18.4076874
Liberty Primary,29.0504378,19.8,25.4,6.5923126
Hatfeild Primary School,67.745676,11.7,63.3,31.3076874
Harris Academy Merton,61.4918858,17.5,17.5,14.4923126
Lonesome Primary School,39.867884,26.8,20.7,11.2923126
Merton Abbey Primary School,42.2667092,22.9,20.8,11.1923126
Ricards Lodge High School,28.7632288,15.8,29.1,2.8923126
Malmesbury Primary School,43.896797,27.1,42.5,10.5076874
St Teresa's Catholic Primary School,59.8068758,5.8,18.6,13.3923126
Raynes Park High School,34.6589794,20.9,46.5,14.5076874
The Sherwood School,43.9364296,12.8,23.2,8.7923126
Links Primary School,60.879906,11.9,7.7,24.2923126
St Matthew's CofE Primary School,64.9449712,3.4,57.6,25.6076874
Tunmarsh School,68.1217564,30.5,20.3,14.4457418
Forest Gate Community School,30.0266374,18.4,4.4,1.4542582
Langdon Academy,33.0806014,22,3.1,2.7542582
Rosetta Primary School,66.1949496,25.7,19.3,13.4457418
Altmore Infant School,81.0552496,40.5,2,3.8542582
Grange Primary School,48.0272662,18.4,15.6,9.7457418
New City Primary School,40.8961952,9.3,5.1,0.7542582
Carpenters Primary School,52.7758898,20.8,5.1,0.7542582
Eastlea Community School,49.4454072,20.2,11.7,5.8457418
