SCHOOL,INTEG,PER_FSM,BRIT_W,DIFF_BRIT_W
St Michael's East Wickham Church of England Voluntary Aided Primary School,28.6201578,3.8,72,12.4010868
Parkway Primary School,69.0960926,23,32.2,27.3989132
Dulverton Primary School,43.4753914,2.2,73.2,13.6010868
St Catherine's Catholic School,63.8812784,7.9,36.2,23.3989132
Crook Log Primary School,29.829577,11.5,62.5,2.9010868
Haberdashers' Aske's Crayford Academy,13.7711088,14.1,63.6,4.0010868
Lessness Heath Primary School,17.7059516,13.7,54.3,5.2989132
Chislehurst and Sidcup Grammar School,17.8196274,3,65.5,5.9010868
Hurst Primary School,49.8377022,6.9,83.6,24.0010868
Westbrooke School,56.6627376,57.6,72.7,13.1010868
Bedonwell Junior School,18.8573554,7.7,57.9,1.6989132
The Crest Academies,58.9000385,18.7,1.3,5.5247833
Phoenix Arch School,92.0370669,53.5,13.2,6.3752167
Manor School,43.8244135,35.3,6.7,0.1247833
Kingsbury High School,34.5176633,12.1,2.1,4.7247833
Furness Primary School,41.9761673,16.8,5.1,1.7247833
Preston Manor School,27.7151573,16,1.9,4.9247833
Ark Academy,33.7575557,15.3,4.7,2.1247833
Princess Frederica CofE Primary School,100.3605323,5.6,50.1,43.2752167
Wembley Primary School,33.0989679,14.7,0.8,6.0247833
Chalkhill Primary School,64.6299901,15,1.2,5.6247833
Leopold Primary School,52.1152411,15.9,7.7,0.8752167
The Village School,81.3472023,37.3,4,2.8247833
Northview Junior and Infant School,43.6105145,20,6.7,0.1247833
Wembley High Technology College,59.4968719,10.6,1.6,5.2247833
Preston Park Primary School,43.8570107,9.1,1.6,5.2247833
Wykeham Primary School,39.1657897,15.2,2.7,4.1247833
Claremont High School,40.9902367,8.3,3.7,3.1247833
Harlesden Primary School,46.2399069,19.9,3.6,3.2247833
Carlton Vale Infant School,51.6726747,26.6,3,3.8247833
Sudbury Primary School,52.6985981,9.4,1.5,5.3247833
Christ Church CofE Primary School,53.0228221,24.5,10.3,3.4752167
Michaela Community School,50.7351777,21.1,5.1,1.7247833
Roe Green Infant School,58.0135103,2.9,1.1,5.7247833
Oliver Goldsmith Primary School,42.4376743,6.5,1.4,5.4247833
Salusbury Primary School,79.4200781,12,28.6,21.7752167
Brent River College,92.9764311,23.4,6.4,0.4247833
Roe Green Junior School,46.6685935,9.9,1.1,5.7247833
Braintcroft Primary School,67.5214899,16.1,1.2,5.6247833
Barham Primary School,95.6571187,6.3,0.5,6.3247833
Mitchell Brook Primary School,49.0183115,20.6,3.8,3.0247833
John Keble CofE Primary School,62.1212231,23.3,1.2,5.6247833
Kingsbury Green Primary School,44.5451807,9.2,3.2,3.6247833
Uxendon Manor Primary School,51.6819549,8.1,2.6,4.2247833
Elsley Primary School,46.2384425,6.5,0.3,6.5247833
Ark Franklin Primary Academy,39.6888879,22.9,7.1,0.2752167
St Robert Southwell RC Primary School,92.7435749,5.5,27.1,20.2752167
North West London Jewish Day School,141.5117651,1.8,51.7,44.8752167
Byron Court Primary School,38.2313537,6.1,2.8,4.0247833
St Joseph's RC Infant School,68.6124565,2.3,3.6,3.2247833
Mount Stewart Junior School,72.6734233,6.4,1.5,5.3247833
Oakington Manor Primary School,46.3351969,10.5,2.6,4.2247833
St Margaret Clitherow RC Primary School,84.1905155,10.1,10.6,3.7752167
Malorees Junior School,78.8273735,12.4,36.3,29.4752167
Ashley College,136.1443623,42.9,28.6,21.7752167
The Stonebridge School,50.2470149,23.6,2.1,4.7247833
Park Lane Primary School,38.0569867,11.5,0.3,6.5247833
Lyon Park Infant School,105.8710131,3.2,0.4,6.4247833
Woodfield School,48.7110765,41.4,7.6,0.7752167
Malorees Infant School,78.6588329,7.8,31.9,25.0752167
Ark Elvin Academy,44.2934343,14.7,0.8,6.0247833
Convent of Jesus and Mary Language College,45.8966249,15.1,7.2,0.3752167
Gladstone Park Primary School,35.7339079,15.7,8.9,2.0752167
St Mary's RC Primary School,56.4855391,26.9,8.1,1.2752167
Islamia Primary School,100.0861559,19.4,0,6.8247833
The Kilburn Park School Foundation,52.7046595,30.3,3.8,3.0247833
Donnington Primary School,74.8800657,20.8,6.6,0.2247833
Newman Catholic College,51.7424681,11.2,4.9,1.9247833
Mora Primary School,47.9178577,14.9,2.9,3.9247833
Lyon Park Junior School,92.6710131,6.2,0.9,5.9247833
Brentfield Primary School,60.5964903,19.3,3.3,3.5247833
Our Lady of Lourdes RC Primary School,62.4461915,23.7,3.9,2.9247833
Fryent Primary School,54.0825241,11.2,0,6.8247833
Our Lady of Grace RC Infant and Nursery School,83.7757783,11.8,24.2,17.3752167
St Andrew and St Francis CofE Primary School,28.6123485,15.2,2.3,4.5247833
Anson Primary School,59.2065535,16.9,11.3,4.4752167
Sinai Jewish Primary School,139.5675371,3,76.7,69.8752167
Our Lady of Grace Catholic Junior School,96.4900665,10.1,25.7,18.8752167
Capital City Academy,49.8044169,18.8,4.6,2.2247833
Convent of Jesus and Mary RC Infant School,73.4374367,4.3,14.7,7.8752167
Newfield Primary School,58.7708453,15.5,3,3.8247833
